Year,Department Title,Job Class Title,Employment Type,Hourly or Event Rate,Projected Annual Salary,Payments Over Base Pay,Total Payments,Base Pay,Permanent Bonus Pay,Longevity Bonus Pay,Temporary Bonus Pay,Lump Sum Pay,Overtime Pay,Other Pay & Adjustments,Other Pay (Payroll Explorer),MOU Title,Job Class,Average Health Cost,Average Dental Cost,Average Basic Life,Average Benefit Cost,Benefits Plan,Job Class Link
2015,Public Works - Engineering,Structural Engineering Associate II,Full Time,$43.19,"$90,180.72",$330.00,"$10,695.60","$10,365.60",$0.00,$0.00,$330.00,$0.00,$0.00,$0.00,$330.00,PROFESSIONAL ENGINEERING & SCIENTIFIC,7957,"$11,012.40",$411.36,$11.40,"$11,435.16",City,http://per.lacity.org/perspecs/7957.pdf
2015,Public Works - Engineering,Structural Engineer,Full Time,$58.40,"$121,939.20",$0.00,"$121,472.00","$121,472.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,SUPERVISORY PROF. ENGINEERING & SCIENTIFIC,7956,"$11,012.40",$411.36,$11.40,"$11,435.16",City,http://per.lacity.org/perspecs/7956.pdf
2015,Building and Safety,Structural Engineering Associate II,Full Time,$45.60,"$95,212.80","$50,145.48","$141,137.48","$90,992.00",$0.00,$0.00,"$2,860.00",$0.00,"$47,065.48",$220.00,"$3,080.00",PROFESSIONAL ENGINEERING & SCIENTIFIC,7957,"$11,012.40",$411.36,$11.40,"$11,435.16",City,http://per.lacity.org/perspecs/7957.pdf
2015,Building and Safety,Structural Engineering Associate III,Full Time,$50.79,"$106,049.52","$48,102.04","$153,745.24","$105,643.20",$0.00,$0.00,$0.00,$0.00,"$45,634.88","$2,467.16","$2,467.16",PROFESSIONAL ENGINEERING & SCIENTIFIC,7957,"$11,012.40",$411.36,$11.40,"$11,435.16",City,http://per.lacity.org/perspecs/7957.pdf
2015,Building and Safety,Structural Engineering Associate I,Full Time,$32.83,"$68,549.04","$15,170.71","$81,914.10","$66,743.39","-$2,768.08",$0.00,$0.00,$0.00,"$17,038.79",$900.00,"-$1,868.08",PROFESSIONAL ENGINEERING & SCIENTIFIC,7957,"$11,012.40",$411.36,$11.40,"$11,435.16",City,http://per.lacity.org/perspecs/7957.pdf
2015,Building and Safety,Structural Engineering Associate IV,Full Time,$55.21,"$115,278.48","$1,325.04","$116,161.84","$114,836.80",$0.00,$0.00,$0.00,$0.00,"$1,325.04",$0.00,$0.00,PROFESSIONAL ENGINEERING & SCIENTIFIC,7957,"$11,012.40",$411.36,$11.40,"$11,435.16",City,http://per.lacity.org/perspecs/7957.pdf
2015,Building and Safety,Structural Engineering Associate II,Full Time,$45.60,"$95,212.80","$35,796.00","$130,644.00","$94,848.00",$0.00,$0.00,$0.00,$0.00,"$35,796.00",$0.00,$0.00,PROFESSIONAL ENGINEERING & SCIENTIFIC,7957,"$11,012.40",$411.36,$11.40,"$11,435.16",City,http://per.lacity.org/perspecs/7957.pdf
2015,Public Works - Engineering,Structural Engineering Associate III,Full Time,$50.79,"$106,049.52",$304.74,"$105,947.94","$105,643.20",$0.00,$0.00,$0.00,$0.00,$304.74,$0.00,$0.00,PROFESSIONAL ENGINEERING & SCIENTIFIC,7957,"$11,012.40",$411.36,$11.40,"$11,435.16",City,http://per.lacity.org/perspecs/7957.pdf
2015,Public Works - Engineering,Structural Engineering Associate II,Full Time,$40.91,"$85,420.08","$3,433.13","$84,041.24","$80,608.11",$0.00,$0.00,"$2,860.00",$0.00,$523.13,$50.00,"$2,910.00",PROFESSIONAL ENGINEERING & SCIENTIFIC,7957,"$11,012.40",$411.36,$11.40,"$11,435.16",City,http://per.lacity.org/perspecs/7957.pdf
2015,Airports (LAWA),Structural Engineering Associate III,Full Time,$50.79,"$106,049.52","$4,766.22","$110,409.42","$105,643.20",$0.00,$0.00,$0.00,$0.00,"$3,123.59","$1,642.63","$1,642.63",PROFESSIONAL ENGINEERING & SCIENTIFIC,7957,"$11,012.40",$411.36,$11.40,"$11,435.16",City,http://per.lacity.org/perspecs/7957.pdf
2015,Public Works - Engineering,Structural Engineering Associate IV,Full Time,$55.21,"$115,278.48","$3,312.60","$118,149.40","$114,836.80",$0.00,$0.00,$0.00,"$2,650.08",$662.52,$0.00,"$2,650.08",PROFESSIONAL ENGINEERING & SCIENTIFIC,7957,"$11,012.40",$411.36,$11.40,"$11,435.16",City,http://per.lacity.org/perspecs/7957.pdf
2015,Public Works - Street Lighting,Structural Engineering Associate II,Full Time,$45.60,"$95,212.80","$10,423.56","$105,271.56","$94,848.00",$0.00,$0.00,"$2,860.00",$0.00,"$7,168.56",$395.00,"$3,255.00",PROFESSIONAL ENGINEERING & SCIENTIFIC,7957,"$11,012.40",$411.36,$11.40,"$11,435.16",City,http://per.lacity.org/perspecs/7957.pdf
